homelessness_region,year,population_weighted_mean_sale_price,population_weighted_median_annual_earnings,price_to_income_ratio,total_dwellings_built,dwellings_built_per_10000,estimated_total_floor_area_sqm,population_weighted_price_per_sqm,county_count,population_year,homeless_adults,population,homeless_adults_per_10000
Dublin,2010,327062.5,,,,,,,1,2022,8349,1458154,57.26
Mid-East,2010,265536.33,,,,,,,3,2022,636,624451,10.18
Mid-West,2010,198385.63,,,,,,,3,2022,730,505369,14.44
Midlands,2010,178872.3,,,,,,,4,2022,223,317999,7.01
North-East,2010,191228.01,,,,,,,3,2022,172,286695,6.0
North-West,2010,181263.75,,,,,,,3,2022,161,272481,5.91
South-East,2010,207262.06,,,,,,,4,2022,356,457410,7.78
South-West,2010,249814.9,,,,,,,2,2022,897,740614,12.11
West,2010,213714.95,,,,,,,3,2022,420,485966,8.64
Dublin,2011,310541.5,35825.0,8.67,,,,,1,2022,8349,1458154,57.26
Mid-East,2011,240897.71,35054.57,6.87,,,,,3,2022,636,624451,10.18
Mid-West,2011,183945.66,32009.27,5.75,,,,,3,2022,730,505369,14.44
Midlands,2011,148363.14,32031.86,4.63,,,,,4,2022,223,317999,7.01
North-East,2011,164473.44,30030.98,5.48,,,,,3,2022,172,286695,6.0
North-West,2011,157760.38,29081.63,5.42,,,,,3,2022,161,272481,5.91
South-East,2011,172449.73,30752.31,5.61,,,,,4,2022,356,457410,7.78
South-West,2011,220781.19,32223.09,6.85,,,,,2,2022,897,740614,12.11
West,2011,188320.59,31587.39,5.96,,,,,3,2022,420,485966,8.64
Dublin,2012,287393.0,35550.0,8.08,572,3.92,116420.3,1412.03,1,2022,8349,1458154,57.26
Mid-East,2012,213754.92,34616.78,6.17,550,8.81,111942.6,1050.23,3,2022,636,624451,10.18
Mid-West,2012,173376.51,31926.34,5.43,592,11.71,120490.94,851.84,3,2022,730,505369,14.44
Midlands,2012,115468.49,31675.73,3.65,371,11.67,75510.37,567.32,4,2022,223,317999,7.01
North-East,2012,152176.89,29617.72,5.14,394,13.74,80191.61,747.68,3,2022,172,286695,6.0
North-West,2012,128465.98,28863.66,4.45,572,20.99,116420.3,631.18,3,2022,161,272481,5.91
South-East,2012,142965.85,30495.06,4.69,448,9.79,91182.34,702.42,4,2022,356,457410,7.78
South-West,2012,191424.94,32158.52,5.95,829,11.19,168728.03,940.52,2,2022,897,740614,12.11
West,2012,164615.52,31229.3,5.27,601,12.37,122322.73,808.79,3,2022,420,485966,8.64
Dublin,2013,301835.5,35704.0,8.45,822,5.64,161731.79,1534.08,1,2022,8349,1458154,57.26
Mid-East,2013,212518.77,34777.48,6.11,492,7.88,96802.97,1080.12,3,2022,636,624451,10.18
Mid-West,2013,138163.72,32089.41,4.31,546,10.8,107427.68,702.21,3,2022,730,505369,14.44
Midlands,2013,105927.65,31878.62,3.32,247,7.77,48598.24,538.37,4,2022,223,317999,7.01
North-East,2013,122811.96,29896.32,4.11,360,12.56,70831.44,624.19,3,2022,172,286695,6.0
North-West,2013,112914.15,28902.47,3.91,380,13.95,74766.52,573.89,3,2022,161,272481,5.91
South-East,2013,130783.53,30644.06,4.27,429,9.38,84407.47,664.71,4,2022,356,457410,7.78
South-West,2013,178303.65,32359.81,5.51,760,10.26,149533.04,906.23,2,2022,897,740614,12.11
West,2013,144639.12,31512.48,4.59,605,12.45,119036.17,735.12,3,2022,420,485966,8.64
Dublin,2014,346967.5,35909.0,9.66,1718,11.78,315670.47,1888.33,1,2022,8349,1458154,57.26
Mid-East,2014,238690.97,34940.12,6.83,666,10.67,122372.84,1299.05,3,2022,636,624451,10.18
Mid-West,2014,132702.11,32497.16,4.08,457,9.04,83970.55,722.22,3,2022,730,505369,14.44
Midlands,2014,107628.31,32125.48,3.35,284,8.93,52183.01,585.75,4,2022,223,317999,7.01
North-East,2014,121503.15,30161.84,4.03,316,11.02,58062.79,661.27,3,2022,172,286695,6.0
North-West,2014,105178.8,29259.52,3.59,351,12.88,64493.79,572.43,3,2022,161,272481,5.91
South-East,2014,134671.38,30828.8,4.37,453,9.9,83235.58,732.94,4,2022,356,457410,7.78
South-West,2014,177746.12,32798.97,5.42,739,9.98,135786.08,967.37,2,2022,897,740614,12.11
West,2014,135913.32,31740.49,4.28,557,11.46,102344.85,739.69,3,2022,420,485966,8.64
Dublin,2015,394652.0,36203.0,10.9,2105,14.44,368372.9,2255.17,1,2022,8349,1458154,57.26
Mid-East,2015,265782.11,35242.34,7.54,1192,19.09,208598.81,1518.76,3,2022,636,624451,10.18
Mid-West,2015,142879.5,32844.84,4.35,567,11.22,99224.43,816.46,3,2022,730,505369,14.44
Midlands,2015,122913.05,32298.24,3.81,337,10.6,58974.66,702.37,4,2022,223,317999,7.01
North-East,2015,131521.02,30537.76,4.31,375,13.08,65624.63,751.56,3,2022,172,286695,6.0
