year,county,mean_sale_price,median_annual_earnings,total_dwellings_built,estimated_total_floor_area_sqm,weighted_avg_dwelling_size_sqm,price_per_sqm
2010,Carlow,194633.0,,,,,
2011,Carlow,161965.0,30528.0,,,,
2012,Carlow,120476.5,30161.0,57,11601.324,203.532,591.93
2013,Carlow,122572.5,30627.0,41,8066.914,196.754,622.97
2014,Carlow,124245.5,30599.0,72,13229.496,183.743,676.19
2015,Carlow,145412.0,30690.0,97,16974.903,174.999,830.93
2016,Carlow,165430.5,30807.0,70,11639.18,166.274,994.93
2017,Carlow,179309.0,31466.0,89,13624.832,153.088,1171.28
2018,Carlow,199585.0,32322.0,216,32143.392,148.812,1341.19
2019,Carlow,178404.5,33283.0,194,27667.504,142.616,1250.94
2020,Carlow,225648.5,36636.0,199,27528.466,138.334,1631.19
2021,Carlow,229201.5,37552.0,253,33392.458,131.986,1736.56
2022,Carlow,245283.5,37802.0,231,28702.905,124.255,1974.03
2023,Carlow,281199.5,38556.0,242,28693.214,118.567,2371.65
2024,Carlow,282192.0,,268,31424.608,117.256,2406.63
2010,Cavan,166151.0,,,,,
2011,Cavan,147956.5,30119.0,,,,
2012,Cavan,131464.0,30000.0,99,20149.668,203.532,645.91
2013,Cavan,101649.5,30063.0,69,13576.026,196.754,516.63
2014,Cavan,92507.0,30290.0,102,18741.786,183.743,503.46
2015,Cavan,100090.0,30629.0,92,16099.908,174.999,571.95
2016,Cavan,119939.5,30874.0,144,23943.456,166.274,721.34
2017,Cavan,134324.5,31109.0,138,21126.144,153.088,877.43
2018,Cavan,144929.5,31999.0,163,24256.356,148.812,973.91
2019,Cavan,168353.0,33236.0,137,19538.392,142.616,1180.46
2020,Cavan,173226.0,37001.0,196,27113.464,138.334,1252.23
2021,Cavan,194110.5,37497.0,195,25737.27,131.986,1470.69
2022,Cavan,227504.0,37224.0,257,31933.535,124.255,1830.94
2023,Cavan,244429.0,38514.0,260,30827.42,118.567,2061.53
2024,Cavan,253875.5,,246,28844.976,117.256,2165.14
2010,Clare,193582.5,,,,,
2011,Clare,186346.5,32770.0,,,,
2012,Clare,161302.5,32739.0,195,39688.74,203.532,792.52
2013,Clare,134435.5,32737.0,202,39744.308,196.754,683.27
2014,Clare,125937.5,33320.0,198,36381.114,183.743,685.4
2015,Clare,131646.0,33705.0,188,32899.812,174.999,752.27
2016,Clare,146664.0,33569.0,254,42233.596,166.274,882.06
2017,Clare,166685.0,34182.0,296,45314.048,153.088,1088.82
2018,Clare,200319.0,35239.0,299,44494.788,148.812,1346.12
2019,Clare,236437.5,36203.0,458,65318.128,142.616,1657.86
2020,Clare,230660.5,39692.0,459,63495.306,138.334,1667.42
2021,Clare,250600.5,40299.0,464,61241.504,131.986,1898.69
2022,Clare,284306.0,40654.0,640,79523.2,124.255,2288.08
2023,Clare,299493.5,41942.0,520,61654.84,118.567,2525.94
2024,Clare,322459.5,,625,73285.0,117.256,2750.05
2010,Cork,258716.0,,,,,
2011,Cork,226054.0,33021.0,,,,
2012,Cork,196167.5,32986.0,609,123950.988,203.532,963.82
2013,Cork,188245.5,33208.0,565,111166.01,196.754,956.76
2014,Cork,187713.0,33663.0,560,102896.08,183.743,1021.61
2015,Cork,205269.5,34050.0,771,134924.229,174.999,1172.98
2016,Cork,233269.5,34266.0,940,156297.56,166.274,1402.92
2017,Cork,256550.5,35000.0,1373,210189.824,153.088,1675.84
2018,Cork,292272.5,36492.0,1736,258337.632,148.812,1964.04
2019,Cork,307862.5,37569.0,2138,304913.008,142.616,2158.68
2020,Cork,305417.5,41442.0,2450,338918.3,138.334,2207.83
2021,Cork,320522.0,42000.0,2220,293008.92,131.986,2428.45
2022,Cork,342975.0,42763.0,3066,380965.83,124.255,2760.25
2023,Cork,362452.5,44348.0,3099,367439.133,118.567,3056.94
2024,Cork,381696.5,,3546,415789.776,117.256,3255.24
2010,Donegal,181534.0,,,,,
2011,Donegal,164246.0,27311.0,,,,
2012,Donegal,135528.5,27125.0,358,72864.456,203.532,665.88
2013,Donegal,116004.0,26993.0,249,48991.746,196.754,589.59
2014,Donegal,101659.0,27415.0,256,47038.208,183.743,553.27
2015,Donegal,121952.0,27748.0,242,42349.758,174.999,696.87
2016,Donegal,132573.0,27402.0,284,47221.816,166.274,797.32
2017,Donegal,144400.0,27808.0,362,55417.856,153.088,943.25
2018,Donegal,140874.0,28645.0,426,63393.912,148.812,946.66
2019,Donegal,149996.0,29714.0,430,61324.88,142.616,1051.75
2020,Donegal,167696.0,34895.0,574,79403.716,138.334,1212.25
2021,Donegal,176736.5,34359.0,477,62957.322,131.986,1339.05
2022,Donegal,222252.0,33523.0,652,81014.26,124.255,1788.68
2023,Donegal,243577.5,35010.0,636,75408.612,118.567,2054.34
2024,Donegal,263330.0,,636,74574.816,117.256,2245.77
2010,Dublin,327062.5,,,,,
2011,Dublin,310541.5,35825.0,,,,
2012,Dublin,287393.0,35550.0,572,116420.304,203.532,1412.03
2013,Dublin,301835.5,35704.0,822,161731.788,196.754,1534.08
2014,Dublin,346967.5,35909.0,1718,315670.474,183.743,1888.33
2015,Dublin,394652.0,36203.0,2105,368372.895,174.999,2255.17
2016,Dublin,417967.0,36891.0,3553,590771.522,166.274,2513.72
2017,Dublin,434334.5,37946.0,5525,845811.2,153.088,2837.16
2018,Dublin,452208.5,39198.0,6835,1017130.02,148.812,3038.79
2019,Dublin,452802.5,40552.0,6846,976349.136,142.616,3174.98
2020,Dublin,459362.0,44327.0,6032,834430.688,138.334,3320.67
2021,Dublin,524052.0,45386.0,6249,824780.514,131.986,3970.51
2022,Dublin,544562.0,46136.0,10355,1286660.525,124.255,4382.62
2023,Dublin,562970.0,47873.0,12585,1492165.695,118.567,4748.12
2024,Dublin,579098.5,,10921,1280552.776,117.256,4938.75
2010,Galway,241557.0,,,,,
2011,Galway,208009.0,32330.0,,,,
2012,Galway,192751.5,31816.0,327,66554.964,203.532,947.03
2013,Galway,171176.0,32227.0,309,60796.986,196.754,870.0
2014,Galway,160104.5,32272.0,308,56592.844,183.743,871.35
2015,Galway,164269.0,33227.0,386,67549.614,174.999,938.69
2016,Galway,193331.5,33234.0,504,83802.096,166.274,1162.73
2017,Galway,218928.5,34090.0,628,96139.264,153.088,1430.08
2018,Galway,253635.0,35262.0,670,99704.04,148.812,1704.4
2019,Galway,282478.5,36400.0,1047,149318.952,142.616,1980.69
2020,Galway,300621.0,39769.0,1045,144559.03,138.334,2173.15
2021,Galway,314256.5,40365.0,1047,138189.342,131.986,2380.98
2022,Galway,343067.5,40973.0,1300,161531.5,124.255,2761.0
2023,Galway,361502.0,42279.0,1316,156034.172,118.567,3048.93
2024,Galway,391172.0,,1242,145631.952,117.256,3336.05
2010,Kerry,216581.5,,,,,
2011,Kerry,201094.5,29244.0,,,,
2012,Kerry,173718.0,29069.0,220,44777.04,203.532,853.52
2013,Kerry,141184.5,29193.0,195,38367.03,196.754,717.57
2014,Kerry,140533.5,29573.0,179,32889.997,183.743,764.84
2015,Kerry,145488.0,30072.0,193,33774.807,174.999,831.36
2016,Kerry,160528.0,29517.0,249,41402.226,166.274,965.44
2017,Kerry,197910.5,30079.0,303,46385.664,153.088,1292.79
2018,Kerry,207091.0,31004.0,387,57590.244,148.812,1391.63
2019,Kerry,223609.5,31897.0,445,63464.12,142.616,1567.91
2020,Kerry,230242.5,36569.0,570,78850.38,138.334,1664.4
2021,Kerry,266812.5,37053.0,447,58997.742,131.986,2021.52
2022,Kerry,270300.5,36305.0,611,75919.805,124.255,2175.37
2023,Kerry,307546.5,37151.0,615,72918.705,118.567,2593.86
2024,Kerry,350024.5,,483,56634.648,117.256,2985.13
2010,Kildare,259878.5,,,,,
2011,Kildare,236712.0,35733.0,,,,
2012,Kildare,219864.0,35297.0,207,42131.124,203.532,1080.24
2013,Kildare,215555.0,35460.0,189,37186.506,196.754,1095.56
2014,Kildare,254574.0,35504.0,299,54939.157,183.743,1385.49
2015,Kildare,265628.0,36052.0,578,101149.422,174.999,1517.88
2016,Kildare,285865.0,36301.0,631,104918.894,166.274,1719.24
2017,Kildare,294856.5,37314.0,979,149873.152,153.088,1926.06
2018,Kildare,315802.0,38447.0,1228,182741.136,148.812,2122.15
2019,Kildare,323071.0,39661.0,1898,270685.168,142.616,2265.32
2020,Kildare,329939.5,42724.0,1662,229911.108,138.334,2385.09
2021,Kildare,351235.0,43971.0,2034,268459.524,131.986,2661.15
2022,Kildare,378909.0,45173.0,2623,325920.865,124.255,3049.45
2023,Kildare,399851.0,46819.0,2706,320842.302,118.567,3372.36
2024,Kildare,423806.5,,1425,167089.8,117.256,3614.37
2010,Kilkenny,217514.0,,,,,
2011,Kilkenny,186101.5,32016.0,,,,
2012,Kilkenny,153878.5,31837.0,109,22184.988,203.532,756.04
2013,Kilkenny,148759.0,32008.0,115,22626.71,196.754,756.07
2014,Kilkenny,144526.0,32333.0,109,20027.987,183.743,786.57
2015,Kilkenny,188087.0,32371.0,113,19774.887,174.999,1074.79
2016,Kilkenny,217304.0,32225.0,157,26105.018,166.274,1306.9
2017,Kilkenny,209571.0,33158.0,194,29699.072,153.088,1368.96
2018,Kilkenny,267375.0,34638.0,218,32441.016,148.812,1796.73
2019,Kilkenny,266759.5,35611.0,291,41501.256,142.616,1870.47
2020,Kilkenny,253597.0,39212.0,383,52981.922,138.334,1833.22
2021,Kilkenny,291633.0,40083.0,325,42895.45,131.986,2209.58
2022,Kilkenny,343007.0,40015.0,421,52311.355,124.255,2760.51
2023,Kilkenny,348363.0,41392.0,552,65448.984,118.567,2938.11
2024,Kilkenny,359294.5,,508,59566.048,117.256,3064.19
2010,Laois,186340.5,,,,,
2011,Laois,147106.0,33532.0,,,,
2012,Laois,110798.5,32982.0,129,26255.628,203.532,544.38
2013,Laois,105868.0,33284.0,87,17117.598,196.754,538.07
2014,Laois,106466.0,33424.0,80,14699.44,183.743,579.43
2015,Laois,135812.0,33506.0,91,15924.909,174.999,776.07
2016,Laois,151537.0,33255.0,111,18456.414,166.274,911.37
2017,Laois,174130.5,33936.0,132,20207.616,153.088,1137.45
2018,Laois,185942.0,35084.0,238,35417.256,148.812,1249.51
2019,Laois,203591.0,36216.0,233,33229.528,142.616,1427.55
2020,Laois,211960.0,39544.0,339,46895.226,138.334,1532.23
2021,Laois,229614.5,40022.0,391,51606.526,131.986,1739.69
2022,Laois,269239.0,40294.0,512,63618.56,124.255,2166.83
2023,Laois,292772.5,41687.0,748,88688.116,118.567,2469.26
2024,Laois,301254.5,,653,76568.168,117.256,2569.2
2010,Leitrim,164323.0,,,,,
2011,Leitrim,131695.5,31443.0,,,,
2012,Leitrim,103829.0,30834.0,44,8955.408,203.532,510.14
2013,Leitrim,82957.0,31075.0,41,8066.914,196.754,421.63
2014,Leitrim,80595.0,31429.0,35,6431.005,183.743,438.63
2015,Leitrim,99359.0,31751.0,54,9449.946,174.999,567.77
2016,Leitrim,97183.0,31013.0,56,9311.344,166.274,584.48
2017,Leitrim,116440.0,31585.0,76,11634.688,153.088,760.61
2018,Leitrim,136492.0,32536.0,60,8928.72,148.812,917.21
2019,Leitrim,118496.5,33503.0,39,5562.024,142.616,830.88
2020,Leitrim,129852.5,37956.0,39,5395.026,138.334,938.69
2021,Leitrim,155251.5,37866.0,85,11218.81,131.986,1176.27
2022,Leitrim,186491.5,37704.0,68,8449.34,124.255,1500.88
2023,Leitrim,220892.0,39000.0,101,11975.267,118.567,1863.01
2024,Leitrim,232475.5,,120,14070.72,117.256,1982.63
2010,Limerick,211841.5,,,,,
2011,Limerick,180909.0,32174.0,,,,
2012,Limerick,191952.0,32178.0,232,47219.424,203.532,943.1
2013,Limerick,161087.0,32373.0,213,41908.602,196.754,818.72
2014,Limerick,138584.5,32821.0,131,24070.333,183.743,754.23
2015,Limerick,153627.0,33253.0,211,36924.789,174.999,877.87
2016,Limerick,176354.0,32983.0,266,44228.884,166.274,1060.62
2017,Limerick,205073.5,33666.0,464,71032.832,153.088,1339.58
2018,Limerick,241693.5,34906.0,503,74852.436,148.812,1624.15
2019,Limerick,253290.0,35874.0,551,78581.416,142.616,1776.03
2020,Limerick,266612.5,39811.0,509,70412.006,138.334,1927.31
2021,Limerick,278922.5,40307.0,598,78927.628,131.986,2113.27
2022,Limerick,305750.5,40719.0,764,94930.82,124.255,2460.67
2023,Limerick,330238.0,42445.0,791,93786.497,118.567,2785.24
2024,Limerick,341212.5,,1011,118545.816,117.256,2909.98
2010,Longford,165207.0,,,,,
2011,Longford,122492.0,29178.0,,,,
2012,Longford,95311.0,29074.0,77,15671.964,203.532,468.29
