year,half,half_year,county,province,property_type,bedrooms,bedrooms_num,rent_euro,is_county_aggregate
2020,1,2020H1,Carlow,Leinster,All property types,All bedrooms,,835.9,True
2020,1,2020H1,Cavan,Ulster,All property types,All bedrooms,,666.31,True
2020,1,2020H1,Clare,Munster,All property types,All bedrooms,,752.02,True
2020,1,2020H1,Cork,Munster,All property types,All bedrooms,,1095.94,True
2020,1,2020H1,Donegal,Ulster,All property types,All bedrooms,,585.6,True
2020,1,2020H1,Dublin,Leinster,All property types,All bedrooms,,1719.68,True
2020,1,2020H1,Galway,Connacht,All property types,All bedrooms,,1088.05,True
2020,1,2020H1,Kerry,Munster,All property types,All bedrooms,,763.12,True
2020,1,2020H1,Kildare,Leinster,All property types,All bedrooms,,1278.33,True
2020,1,2020H1,Kilkenny,Leinster,All property types,All bedrooms,,860.2,True
2020,1,2020H1,Laois,Leinster,All property types,All bedrooms,,879.96,True
2020,1,2020H1,Leitrim,Connacht,All property types,All bedrooms,,574.13,True
2020,1,2020H1,Limerick,Munster,All property types,All bedrooms,,993.0,True
2020,1,2020H1,Longford,Leinster,All property types,All bedrooms,,651.36,True
2020,1,2020H1,Louth,Leinster,All property types,All bedrooms,,1064.46,True
2020,1,2020H1,Mayo,Connacht,All property types,All bedrooms,,676.38,True
2020,1,2020H1,Meath,Leinster,All property types,All bedrooms,,1180.08,True
2020,1,2020H1,Monaghan,Ulster,All property types,All bedrooms,,671.65,True
2020,1,2020H1,Offaly,Leinster,All property types,All bedrooms,,798.23,True
2020,1,2020H1,Roscommon,Connacht,All property types,All bedrooms,,661.34,True
2020,1,2020H1,Sligo,Connacht,All property types,All bedrooms,,728.11,True
2020,1,2020H1,Tipperary,Munster,All property types,All bedrooms,,701.74,True
2020,1,2020H1,Waterford,Munster,All property types,All bedrooms,,803.58,True
2020,1,2020H1,Westmeath,Leinster,All property types,All bedrooms,,844.69,True
2020,1,2020H1,Wexford,Leinster,All property types,All bedrooms,,769.47,True
2020,1,2020H1,Wicklow,Leinster,All property types,All bedrooms,,1266.5,True
2020,2,2020H2,Carlow,Leinster,All property types,All bedrooms,,878.41,True
2020,2,2020H2,Cavan,Ulster,All property types,All bedrooms,,674.63,True
2020,2,2020H2,Clare,Munster,All property types,All bedrooms,,762.77,True
2020,2,2020H2,Cork,Munster,All property types,All bedrooms,,1127.74,True
2020,2,2020H2,Donegal,Ulster,All property types,All bedrooms,,595.03,True
2020,2,2020H2,Dublin,Leinster,All property types,All bedrooms,,1737.41,True
2020,2,2020H2,Galway,Connacht,All property types,All bedrooms,,1133.76,True
2020,2,2020H2,Kerry,Munster,All property types,All bedrooms,,774.97,True
2020,2,2020H2,Kildare,Leinster,All property types,All bedrooms,,1297.63,True
2020,2,2020H2,Kilkenny,Leinster,All property types,All bedrooms,,866.17,True
2020,2,2020H2,Laois,Leinster,All property types,All bedrooms,,881.78,True
2020,2,2020H2,Leitrim,Connacht,All property types,All bedrooms,,581.31,True
2020,2,2020H2,Limerick,Munster,All property types,All bedrooms,,1027.52,True
2020,2,2020H2,Longford,Leinster,All property types,All bedrooms,,658.67,True
2020,2,2020H2,Louth,Leinster,All property types,All bedrooms,,1080.78,True
2020,2,2020H2,Mayo,Connacht,All property types,All bedrooms,,689.94,True
2020,2,2020H2,Meath,Leinster,All property types,All bedrooms,,1196.99,True
2020,2,2020H2,Monaghan,Ulster,All property types,All bedrooms,,673.82,True
2020,2,2020H2,Offaly,Leinster,All property types,All bedrooms,,818.57,True
2020,2,2020H2,Roscommon,Connacht,All property types,All bedrooms,,676.75,True
2020,2,2020H2,Sligo,Connacht,All property types,All bedrooms,,755.52,True
2020,2,2020H2,Tipperary,Munster,All property types,All bedrooms,,714.34,True
2020,2,2020H2,Waterford,Munster,All property types,All bedrooms,,822.77,True
2020,2,2020H2,Westmeath,Leinster,All property types,All bedrooms,,860.0,True
2020,2,2020H2,Wexford,Leinster,All property types,All bedrooms,,784.39,True
2020,2,2020H2,Wicklow,Leinster,All property types,All bedrooms,,1292.86,True
2021,1,2021H1,Carlow,Leinster,All property types,All bedrooms,,879.24,True
2021,1,2021H1,Cavan,Ulster,All property types,All bedrooms,,687.17,True
2021,1,2021H1,Clare,Munster,All property types,All bedrooms,,784.71,True
2021,1,2021H1,Cork,Munster,All property types,All bedrooms,,1134.97,True
2021,1,2021H1,Donegal,Ulster,All property types,All bedrooms,,605.23,True
2021,1,2021H1,Dublin,Leinster,All property types,All bedrooms,,1742.71,True
2021,1,2021H1,Galway,Connacht,All property types,All bedrooms,,1139.82,True
2021,1,2021H1,Kerry,Munster,All property types,All bedrooms,,791.78,True
2021,1,2021H1,Kildare,Leinster,All property types,All bedrooms,,1323.09,True
2021,1,2021H1,Kilkenny,Leinster,All property types,All bedrooms,,862.37,True
2021,1,2021H1,Laois,Leinster,All property types,All bedrooms,,889.89,True
2021,1,2021H1,Leitrim,Connacht,All property types,All bedrooms,,598.13,True
2021,1,2021H1,Limerick,Munster,All property types,All bedrooms,,1018.69,True
2021,1,2021H1,Longford,Leinster,All property types,All bedrooms,,681.84,True
2021,1,2021H1,Louth,Leinster,All property types,All bedrooms,,1099.46,True
2021,1,2021H1,Mayo,Connacht,All property types,All bedrooms,,710.37,True
2021,1,2021H1,Meath,Leinster,All property types,All bedrooms,,1216.27,True
2021,1,2021H1,Monaghan,Ulster,All property types,All bedrooms,,679.74,True
2021,1,2021H1,Offaly,Leinster,All property types,All bedrooms,,829.65,True
2021,1,2021H1,Roscommon,Connacht,All property types,All bedrooms,,699.27,True
2021,1,2021H1,Sligo,Connacht,All property types,All bedrooms,,750.33,True
2021,1,2021H1,Tipperary,Munster,All property types,All bedrooms,,725.01,True
2021,1,2021H1,Waterford,Munster,All property types,All bedrooms,,836.7,True
2021,1,2021H1,Westmeath,Leinster,All property types,All bedrooms,,877.88,True
2021,1,2021H1,Wexford,Leinster,All property types,All bedrooms,,794.96,True
2021,1,2021H1,Wicklow,Leinster,All property types,All bedrooms,,1346.79,True
2021,2,2021H2,Carlow,Leinster,All property types,All bedrooms,,935.38,True
2021,2,2021H2,Cavan,Ulster,All property types,All bedrooms,,701.75,True
2021,2,2021H2,Clare,Munster,All property types,All bedrooms,,812.72,True
2021,2,2021H2,Cork,Munster,All property types,All bedrooms,,1172.07,True
2021,2,2021H2,Donegal,Ulster,All property types,All bedrooms,,629.65,True
2021,2,2021H2,Dublin,Leinster,All property types,All bedrooms,,1775.53,True
2021,2,2021H2,Galway,Connacht,All property types,All bedrooms,,1197.95,True
2021,2,2021H2,Kerry,Munster,All property types,All bedrooms,,815.0,True
2021,2,2021H2,Kildare,Leinster,All property types,All bedrooms,,1337.46,True
2021,2,2021H2,Kilkenny,Leinster,All property types,All bedrooms,,883.39,True
2021,2,2021H2,Laois,Leinster,All property types,All bedrooms,,908.17,True
2021,2,2021H2,Leitrim,Connacht,All property types,All bedrooms,,619.99,True
2021,2,2021H2,Limerick,Munster,All property types,All bedrooms,,1078.11,True
2021,2,2021H2,Longford,Leinster,All property types,All bedrooms,,705.75,True
2021,2,2021H2,Louth,Leinster,All property types,All bedrooms,,1120.29,True
2021,2,2021H2,Mayo,Connacht,All property types,All bedrooms,,730.51,True
2021,2,2021H2,Meath,Leinster,All property types,All bedrooms,,1237.81,True
2021,2,2021H2,Monaghan,Ulster,All property types,All bedrooms,,690.9,True
2021,2,2021H2,Offaly,Leinster,All property types,All bedrooms,,851.0,True
2021,2,2021H2,Roscommon,Connacht,All property types,All bedrooms,,728.96,True
2021,2,2021H2,Sligo,Connacht,All property types,All bedrooms,,791.76,True
2021,2,2021H2,Tipperary,Munster,All property types,All bedrooms,,742.34,True
2021,2,2021H2,Waterford,Munster,All property types,All bedrooms,,899.67,True
2021,2,2021H2,Westmeath,Leinster,All property types,All bedrooms,,908.84,True
2021,2,2021H2,Wexford,Leinster,All property types,All bedrooms,,822.2,True
2021,2,2021H2,Wicklow,Leinster,All property types,All bedrooms,,1368.42,True
2022,1,2022H1,Carlow,Leinster,All property types,All bedrooms,,952.49,True
2022,1,2022H1,Cavan,Ulster,All property types,All bedrooms,,749.7,True
2022,1,2022H1,Clare,Munster,All property types,All bedrooms,,850.68,True
2022,1,2022H1,Cork,Munster,All property types,All bedrooms,,1195.47,True
2022,1,2022H1,Donegal,Ulster,All property types,All bedrooms,,674.43,True
2022,1,2022H1,Dublin,Leinster,All property types,All bedrooms,,1821.91,True
2022,1,2022H1,Galway,Connacht,All property types,All bedrooms,,1205.05,True
2022,1,2022H1,Kerry,Munster,All property types,All bedrooms,,854.96,True
2022,1,2022H1,Kildare,Leinster,All property types,All bedrooms,,1368.84,True
2022,1,2022H1,Kilkenny,Leinster,All property types,All bedrooms,,908.32,True
2022,1,2022H1,Laois,Leinster,All property types,All bedrooms,,939.66,True
2022,1,2022H1,Leitrim,Connacht,All property types,All bedrooms,,677.4,True
2022,1,2022H1,Limerick,Munster,All property types,All bedrooms,,1112.26,True
2022,1,2022H1,Longford,Leinster,All property types,All bedrooms,,737.54,True
2022,1,2022H1,Louth,Leinster,All property types,All bedrooms,,1152.45,True
2022,1,2022H1,Mayo,Connacht,All property types,All bedrooms,,770.15,True
2022,1,2022H1,Meath,Leinster,All property types,All bedrooms,,1252.19,True
2022,1,2022H1,Monaghan,Ulster,All property types,All bedrooms,,729.61,True
2022,1,2022H1,Offaly,Leinster,All property types,All bedrooms,,884.35,True
2022,1,2022H1,Roscommon,Connacht,All property types,All bedrooms,,766.61,True
2022,1,2022H1,Sligo,Connacht,All property types,All bedrooms,,825.85,True
2022,1,2022H1,Tipperary,Munster,All property types,All bedrooms,,777.88,True
2022,1,2022H1,Waterford,Munster,All property types,All bedrooms,,877.86,True
2022,1,2022H1,Westmeath,Leinster,All property types,All bedrooms,,943.47,True
2022,1,2022H1,Wexford,Leinster,All property types,All bedrooms,,860.61,True
2022,1,2022H1,Wicklow,Leinster,All property types,All bedrooms,,1396.1,True
2022,2,2022H2,Carlow,Leinster,All property types,All bedrooms,,1029.59,True
2022,2,2022H2,Cavan,Ulster,All property types,All bedrooms,,806.13,True
2022,2,2022H2,Clare,Munster,All property types,All bedrooms,,897.61,True
2022,2,2022H2,Cork,Munster,All property types,All bedrooms,,1245.51,True
2022,2,2022H2,Donegal,Ulster,All property types,All bedrooms,,710.26,True
2022,2,2022H2,Dublin,Leinster,All property types,All bedrooms,,1874.6,True
2022,2,2022H2,Galway,Connacht,All property types,All bedrooms,,1285.5,True
2022,2,2022H2,Kerry,Munster,All property types,All bedrooms,,906.67,True
2022,2,2022H2,Kildare,Leinster,All property types,All bedrooms,,1421.48,True
2022,2,2022H2,Kilkenny,Leinster,All property types,All bedrooms,,940.28,True
2022,2,2022H2,Laois,Leinster,All property types,All bedrooms,,953.21,True
2022,2,2022H2,Leitrim,Connacht,All property types,All bedrooms,,724.88,True
2022,2,2022H2,Limerick,Munster,All property types,All bedrooms,,1199.36,True
2022,2,2022H2,Longford,Leinster,All property types,All bedrooms,,790.74,True
2022,2,2022H2,Louth,Leinster,All property types,All bedrooms,,1173.02,True
2022,2,2022H2,Mayo,Connacht,All property types,All bedrooms,,820.91,True
2022,2,2022H2,Meath,Leinster,All property types,All bedrooms,,1285.17,True
2022,2,2022H2,Monaghan,Ulster,All property types,All bedrooms,,763.04,True
2022,2,2022H2,Offaly,Leinster,All property types,All bedrooms,,926.09,True
2022,2,2022H2,Roscommon,Connacht,All property types,All bedrooms,,809.5,True
2022,2,2022H2,Sligo,Connacht,All property types,All bedrooms,,888.96,True
