year,age_group,sex,education_attainment_level,nuts2_region,unemployment_rate
2019,All ages,Both sexes,Levels of Education (Levels 0-8),Northern and Western,4.7
2019,All ages,Both sexes,Levels of Education (Levels 0-8),Southern,5.5
2019,All ages,Both sexes,Levels of Education (Levels 0-8),Eastern and Midland,4.7
2019,All ages,Both sexes,Less than primary (Level 0),Northern and Western,
2019,All ages,Both sexes,Less than primary (Level 0),Southern,
2019,All ages,Both sexes,Less than primary (Level 0),Eastern and Midland,
2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,6.9
2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,10.0
2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,8.9
2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,5.5
2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,6.2
2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,5.9
2019,All ages,Both sexes,Tertiary education (Levels 5-8),Northern and Western,3.3
2019,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,3.5
2019,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,3.1
2019,All ages,Both sexes,Level of education - not stated,Northern and Western,
2019,All ages,Both sexes,Level of education - not stated,Southern,
2019,All ages,Both sexes,Level of education - not stated,Eastern and Midland,
2019,All ages,Male,Levels of Education (Levels 0-8),Northern and Western,5.0
2019,All ages,Male,Levels of Education (Levels 0-8),Southern,5.8
2019,All ages,Male,Levels of Education (Levels 0-8),Eastern and Midland,4.9
2019,All ages,Male,Less than primary (Level 0),Northern and Western,
2019,All ages,Male,Less than primary (Level 0),Southern,
2019,All ages,Male,Less than primary (Level 0),Eastern and Midland,
2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,7.0
2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Southern,9.9
2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,8.9
2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,5.4
2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,5.9
2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,6.2
2019,All ages,Male,Tertiary education (Levels 5-8),Northern and Western,3.3
2019,All ages,Male,Tertiary education (Levels 5-8),Southern,4.0
2019,All ages,Male,Tertiary education (Levels 5-8),Eastern and Midland,2.9
2019,All ages,Male,Level of education - not stated,Northern and Western,
2019,All ages,Male,Level of education - not stated,Southern,
2019,All ages,Male,Level of education - not stated,Eastern and Midland,
2019,All ages,Female,Levels of Education (Levels 0-8),Northern and Western,4.5
2019,All ages,Female,Levels of Education (Levels 0-8),Southern,5.2
2019,All ages,Female,Levels of Education (Levels 0-8),Eastern and Midland,4.6
2019,All ages,Female,Less than primary (Level 0),Northern and Western,
2019,All ages,Female,Less than primary (Level 0),Southern,
2019,All ages,Female,Less than primary (Level 0),Eastern and Midland,
2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,6.8
2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Southern,10.2
2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,8.9
2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,5.6
2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,6.7
2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,5.6
2019,All ages,Female,Tertiary education (Levels 5-8),Northern and Western,3.2
2019,All ages,Female,Tertiary education (Levels 5-8),Southern,3.1
2019,All ages,Female,Tertiary education (Levels 5-8),Eastern and Midland,3.3
2019,All ages,Female,Level of education - not stated,Northern and Western,
