homelessness_region,year,half,half_year,avg_rent_euro,population_weighted_avg_rent_euro,county_count,population_year,homeless_adults,population,homeless_adults_per_10000
Dublin,2020,1,2020H1,1719.68,1719.68,1,2022,8349,1458154,57.26
Mid-East,2020,1,2020H1,1241.64,1240.63,3,2022,636,624451,10.18
Mid-West,2020,1,2020H1,815.59,835.23,3,2022,730,505369,14.44
Midlands,2020,1,2020H1,793.56,814.31,4,2022,223,317999,7.01
North-East,2020,1,2020H1,800.81,861.54,3,2022,172,286695,6.0
North-West,2020,1,2020H1,629.28,620.83,3,2022,161,272481,5.91
South-East,2020,1,2020H1,817.29,808.63,4,2022,356,457410,7.78
South-West,2020,1,2020H1,929.53,1025.63,2,2022,897,740614,12.11
West,2020,1,2020H1,808.59,909.48,3,2022,420,485966,8.64
Dublin,2020,2,2020H2,1737.41,1737.41,1,2022,8349,1458154,57.26
Mid-East,2020,2,2020H2,1262.49,1260.85,3,2022,636,624451,10.18
Mid-West,2020,2,2020H2,834.88,856.45,3,2022,730,505369,14.44
Midlands,2020,2,2020H2,804.75,825.86,4,2022,223,317999,7.01
North-East,2020,2,2020H2,809.74,872.36,3,2022,172,286695,6.0
North-West,2020,2,2020H2,643.95,634.6,3,2022,161,272481,5.91
South-East,2020,2,2020H2,837.93,826.44,4,2022,356,457410,7.78
South-West,2020,2,2020H2,951.36,1053.22,2,2022,897,740614,12.11
West,2020,2,2020H2,833.48,941.68,3,2022,420,485966,8.64
Dublin,2021,1,2021H1,1742.71,1742.71,1,2022,8349,1458154,57.26
Mid-East,2021,1,2021H1,1295.38,1291.23,3,2022,636,624451,10.18
Mid-West,2021,1,2021H1,842.8,861.89,3,2022,730,505369,14.44
Midlands,2021,1,2021H1,819.82,839.92,4,2022,223,317999,7.01
North-East,2021,1,2021H1,822.12,886.38,3,2022,172,286695,6.0
North-West,2021,1,2021H1,651.23,641.69,3,2022,161,272481,5.91
South-East,2021,1,2021H1,843.32,833.35,4,2022,356,457410,7.78
South-West,2021,1,2021H1,963.38,1062.47,2,2022,897,740614,12.11
West,2021,1,2021H1,849.82,954.2,3,2022,420,485966,8.64
Dublin,2021,2,2021H2,1775.53,1775.53,1,2022,8349,1458154,57.26
Mid-East,2021,2,2021H2,1314.56,1309.95,3,2022,636,624451,10.18
Mid-West,2021,2,2021H2,877.72,899.37,3,2022,730,505369,14.44
Midlands,2021,2,2021H2,843.44,863.66,4,2022,223,317999,7.01
North-East,2021,2,2021H2,837.65,903.23,3,2022,172,286695,6.0
North-West,2021,2,2021H2,680.47,670.17,3,2022,161,272481,5.91
South-East,2021,2,2021H2,885.16,873.04,4,2022,356,457410,7.78
South-West,2021,2,2021H2,993.53,1096.64,2,2022,897,740614,12.11
West,2021,2,2021H2,885.81,997.44,3,2022,420,485966,8.64
Dublin,2022,1,2022H1,1821.91,1821.91,1,2022,8349,1458154,57.26
Mid-East,2022,1,2022H1,1339.04,1334.39,3,2022,636,624451,10.18
Mid-West,2022,1,2022H1,913.61,934.95,3,2022,730,505369,14.44
Midlands,2022,1,2022H1,876.25,896.64,4,2022,223,317999,7.01
North-East,2022,1,2022H1,877.25,941.38,3,2022,172,286695,6.0
North-West,2022,1,2022H1,725.89,713.82,3,2022,161,272481,5.91
South-East,2022,1,2022H1,899.82,888.73,4,2022,356,457410,7.78
South-West,2022,1,2022H1,1025.22,1123.54,2,2022,897,740614,12.11
West,2022,1,2022H1,913.94,1018.19,3,2022,420,485966,8.64
Dublin,2022,2,2022H2,1874.6,1874.6,1,2022,8349,1458154,57.26
Mid-East,2022,2,2022H2,1364.42,1364.58,3,2022,636,624451,10.18
Mid-West,2022,2,2022H2,974.21,998.82,3,2022,730,505369,14.44
Midlands,2022,2,2022H2,913.76,931.86,4,2022,223,317999,7.01
North-East,2022,2,2022H2,914.06,975.1,3,2022,172,286695,6.0
North-West,2022,2,2022H2,774.7,758.19,3,2022,161,272481,5.91
South-East,2022,2,2022H2,972.47,960.84,4,2022,356,457410,7.78
South-West,2022,2,2022H2,1076.09,1173.93,2,2022,897,740614,12.11
West,2022,2,2022H2,971.97,1084.78,3,2022,420,485966,8.64
Dublin,2023,1,2023H1,1932.29,1932.29,1,2022,8349,1458154,57.26
Mid-East,2023,1,2023H1,1400.74,1400.2,3,2022,636,624451,10.18
Mid-West,2023,1,2023H1,990.46,1011.92,3,2022,730,505369,14.44
Midlands,2023,1,2023H1,937.81,955.06,4,2022,223,317999,7.01
North-East,2023,1,2023H1,951.73,1010.86,3,2022,172,286695,6.0
North-West,2023,1,2023H1,811.23,800.33,3,2022,161,272481,5.91
South-East,2023,1,2023H1,996.14,987.31,4,2022,356,457410,7.78
South-West,2023,1,2023H1,1100.78,1193.74,2,2022,897,740614,12.11
West,2023,1,2023H1,1010.54,1115.05,3,2022,420,485966,8.64
Dublin,2023,2,2023H2,1977.34,1977.34,1,2022,8349,1458154,57.26
Mid-East,2023,2,2023H2,1451.12,1452.29,3,2022,636,624451,10.18
Mid-West,2023,2,2023H2,1064.32,1090.24,3,2022,730,505369,14.44
Midlands,2023,2,2023H2,994.8,1011.7,4,2022,223,317999,7.01
North-East,2023,2,2023H2,995.32,1054.04,3,2022,172,286695,6.0
North-West,2023,2,2023H2,863.26,858.24,3,2022,161,272481,5.91
South-East,2023,2,2023H2,1073.7,1064.22,4,2022,356,457410,7.78
South-West,2023,2,2023H2,1156.94,1254.82,2,2022,897,740614,12.11
West,2023,2,2023H2,1071.48,1184.41,3,2022,420,485966,8.64
Dublin,2024,1,2024H1,2045.46,2045.46,1,2022,8349,1458154,57.26
Mid-East,2024,1,2024H1,1516.63,1513.34,3,2022,636,624451,10.18
Mid-West,2024,1,2024H1,1115.27,1139.26,3,2022,730,505369,14.44
Midlands,2024,1,2024H1,1062.29,1075.95,4,2022,223,317999,7.01
North-East,2024,1,2024H1,1056.76,1114.14,3,2022,172,286695,6.0
North-West,2024,1,2024H1,916.54,910.84,3,2022,161,272481,5.91
South-East,2024,1,2024H1,1093.19,1088.06,4,2022,356,457410,7.78
South-West,2024,1,2024H1,1206.84,1299.34,2,2022,897,740614,12.11
West,2024,1,2024H1,1131.57,1242.86,3,2022,420,485966,8.64
Dublin,2024,2,2024H2,2091.01,2091.01,1,2022,8349,1458154,57.26
Mid-East,2024,2,2024H2,1578.01,1573.08,3,2022,636,624451,10.18
Mid-West,2024,2,2024H2,1194.84,1225.31,3,2022,730,505369,14.44
Midlands,2024,2,2024H2,1118.3,1130.43,4,2022,223,317999,7.01
North-East,2024,2,2024H2,1097.23,1156.24,3,2022,172,286695,6.0
North-West,2024,2,2024H2,973.8,959.76,3,2022,161,272481,5.91
South-East,2024,2,2024H2,1164.05,1153.4,4,2022,356,457410,7.78
South-West,2024,2,2024H2,1281.78,1377.66,2,2022,897,740614,12.11
West,2024,2,2024H2,1194.04,1316.78,3,2022,420,485966,8.64
Dublin,2025,1,2025H1,2147.3,2147.3,1,2022,8349,1458154,57.26
Mid-East,2025,1,2025H1,1642.35,1636.7,3,2022,636,624451,10.18
Mid-West,2025,1,2025H1,1247.21,1279.93,3,2022,730,505369,14.44
Midlands,2025,1,2025H1,1191.43,1202.02,4,2022,223,317999,7.01
North-East,2025,1,2025H1,1178.03,1233.92,3,2022,172,286695,6.0
North-West,2025,1,2025H1,1029.56,1013.58,3,2022,161,272481,5.91
South-East,2025,1,2025H1,1196.07,1186.58,4,2022,356,457410,7.78
South-West,2025,1,2025H1,1333.67,1428.38,2,2022,897,740614,12.11
West,2025,1,2025H1,1260.47,1383.75,3,2022,420,485966,8.64
